Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Seasons
1,Milwaukee Bucks,E,C,60,22,0.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66,2018/2019
2,Golden State Warriors,W,P,57,25,0.695,6.46,116.63,110.24,6.39,6.42,116.6,110.24,6.37,2018/2019
3,Toronto Raptors,E,A,58,24,0.707,6.09,113.99,108,5.99,5.49,113.78,108.4,5.38,2018/2019
4,Utah Jazz,W,NW,50,32,0.61,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28,2018/2019
5,Houston Rockets,W,SW,53,29,0.646,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03,2018/2019
6,Portland Trail Blazers,W,NW,53,29,0.646,4.2,115.45,111.07,4.38,4.44,115.63,111.01,4.62,2018/2019
7,Denver Nuggets,W,NW,54,28,0.659,3.95,113.76,109.62,4.14,4.2,113.74,109.35,4.39,2018/2019
8,Boston Celtics,E,A,49,33,0.598,4.44,112.78,108.35,4.43,3.9,112.57,108.69,3.88,2018/2019
9,Oklahoma City Thunder,W,NW,49,33,0.598,3.4,110.85,107.53,3.31,3.56,110.71,107.22,3.49,2018/2019
10,Indiana Pacers,E,C,48,34,0.585,3.33,110.62,107.23,3.39,2.76,110.31,107.5,2.8,2018/2019
11,Philadelphia 76ers,E,A,51,31,0.622,2.7,113.21,110.58,2.64,2.26,113.16,110.97,2.19,2018/2019
12,San Antonio Spurs,W,SW,48,34,0.585,1.68,113.3,111.55,1.75,1.81,113.3,111.42,1.88,2018/2019
13,Los Angeles Clippers,W,P,48,34,0.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06,2018/2019
14,Orlando Magic,E,SE,42,40,0.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21,2018/2019
15,Miami Heat,E,SE,39,43,0.476,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36,2018/2019
16,Brooklyn Nets,E,A,42,40,0.512,-0.07,110.3,110.36,-0.06,-0.4,110.15,110.56,-0.41,2018/2019
17,Detroit Pistons,E,C,41,41,0.5,-0.24,109.93,110.13,-0.2,-0.55,109.86,110.38,-0.53,2018/2019
18,Sacramento Kings,W,P,39,43,0.476,-1.12,111.17,112.19,-1.02,-0.81,111.29,112,-0.71,2018/2019
19,Dallas Mavericks,W,SW,33,49,0.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79,2018/2019
20,Minnesota Timberwolves,W,NW,36,46,0.439,-1.5,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01,2018/2019
21,New Orleans Pelicans,W,SW,33,49,0.402,-1.33,111.85,113.1,-1.25,-1.1,111.98,112.98,-1.01,2018/2019
22,Los Angeles Lakers,W,P,37,45,0.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26,2018/2019
23,Charlotte Hornets,E,SE,39,43,0.476,-1.1,112.1,113.16,-1.06,-1.31,112.11,113.41,-1.3,2018/2019
24,Memphis Grizzlies,W,SW,33,49,0.402,-2.6,106.96,109.66,-2.7,-2.08,106.93,109.09,-2.17,2018/2019
25,Washington Wizards,E,SE,32,50,0.39,-2.9,111.72,114.56,-2.84,-3.3,111.72,114.97,-3.25,2018/2019
26,Atlanta Hawks,E,SE,29,53,0.354,-6.02,108.71,114.41,-5.7,-6.06,108.83,114.59,-5.76,2018/2019
27,Chicago Bulls,E,C,22,60,0.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.9,-8.41,2018/2019
28,Phoenix Suns,W,P,19,63,0.232,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52,2018/2019
29,New York Knicks,E,A,17,65,0.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.3,-8.98,2018/2019
30,Cleveland Cavaliers,E,C,19,63,0.232,-9.61,108.5,118.54,-10.04,-9.39,108.83,118.64,-9.82,2018/2019
1,Houston Rockets,W,SW,65,17,0.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37,2017/2018
2,Toronto Raptors,E,A,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54,2017/2018
3,Golden State Warriors,W,P,58,24,0.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7,2017/2018
4,Utah Jazz,W,NW,48,34,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68,2017/2018
5,Philadelphia 76ers,E,A,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31,2017/2018
6,Oklahoma City Thunder,W,NW,48,34,0.585,3.41,111.48,108.02,3.47,3.42,111.5,108.03,3.47,2017/2018
7,Boston Celtics,E,A,55,27,0.671,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39,2017/2018
8,San Antonio Spurs,W,SW,47,35,0.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12,2017/2018
9,Portland Trail Blazers,W,NW,49,33,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66,2017/2018
10,Minnesota Timberwolves,W,NW,47,35,0.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.5,2017/2018
11,Denver Nuggets,W,NW,46,36,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71,2017/2018
12,New Orleans Pelicans,W,SW,48,34,0.585,1.3,110.29,109.05,1.24,1.48,110.37,108.95,1.42,2017/2018
13,Indiana Pacers,E,C,48,34,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24,2017/2018
14,Cleveland Cavaliers,E,C,50,32,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67,2017/2018
15,Washington Wizards,E,SE,43,39,0.524,0.59,109.96,109.41,0.55,0.53,110,109.49,0.5,2017/2018
16,Miami Heat,E,SE,44,38,0.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18,2017/2018
17,Los Angeles Clippers,W,P,42,40,0.512,0.04,110.97,111.02,-0.05,0.15,111.06,111,0.07,2017/2018
18,Charlotte Hornets,E,SE,36,46,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04,2017/2018
19,Detroit Pistons,E,C,39,43,0.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3,2017/2018
20,Milwaukee Bucks,E,C,44,38,0.537,-0.3,110.67,110.98,-0.31,-0.45,110.7,111.16,-0.46,2017/2018
21,Los Angeles Lakers,W,P,35,47,0.427,-1.55,107.1,108.64,-1.54,-1.43,106.96,108.39,-1.43,2017/2018
22,Dallas Mavericks,W,SW,24,58,0.293,-3.04,106.92,110,-3.08,-2.7,106.96,109.7,-2.74,2017/2018
23,New York Knicks,E,A,29,53,0.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61,2017/2018
24,Brooklyn Nets,E,A,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72,2017/2018
25,Orlando Magic,E,SE,25,57,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11,2017/2018
26,Atlanta Hawks,E,SE,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31,2017/2018
27,Memphis Grizzlies,W,SW,22,60,0.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15,2017/2018
28,Chicago Bulls,E,C,27,55,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01,2017/2018
29,Sacramento Kings,W,P,27,55,0.329,-6.99,104.47,111.9,-7.43,-6.59,104.6,111.62,-7.02,2017/2018
30,Phoenix Suns,W,P,21,61,0.256,-9.37,104.25,113.51,-9.26,-8.8,104.5,113.19,-8.69,2017/2018
1,Golden State Warriors,W,P,67,15,0.817,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41,2016/2017
2,San Antonio Spurs,W,SW,61,21,0.744,7.2,111.81,104.25,7.56,7.13,111.62,104.12,7.49,2016/2017
3,Houston Rockets,W,SW,55,27,0.671,5.77,115.59,109.96,5.63,5.84,115.7,109.98,5.72,2016/2017
4,Los Angeles Clippers,W,P,51,31,0.622,4.29,113.38,108.88,4.5,4.42,113.46,108.82,4.64,2016/2017
5,Utah Jazz,W,NW,51,31,0.622,3.94,110.46,106.19,4.27,4,110.31,105.98,4.33,2016/2017
6,Toronto Raptors,E,A,51,31,0.622,4.21,113.2,108.68,4.51,3.65,113.07,109.14,3.93,2016/2017
7,Cleveland Cavaliers,E,C,51,31,0.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95,2016/2017
8,Boston Celtics,E,A,53,29,0.646,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33,2016/2017
9,Washington Wizards,E,SE,49,33,0.598,1.8,111.98,110.06,1.92,1.36,111.96,110.49,1.46,2016/2017
10,Oklahoma City Thunder,W,NW,47,35,0.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18,2016/2017
11,Memphis Grizzlies,W,SW,43,39,0.524,0.49,108.59,107.89,0.7,0.96,108.71,107.55,1.17,2016/2017
12,Miami Heat,E,SE,41,41,0.5,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79,2016/2017
13,Denver Nuggets,W,NW,40,42,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67,2016/2017
14,Charlotte Hornets,E,SE,36,46,0.439,0.2,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02,2016/2017
15,Chicago Bulls,E,C,41,41,0.5,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08,2016/2017
16,Portland Trail Blazers,W,NW,41,41,0.5,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22,2016/2017
17,Milwaukee Bucks,E,C,42,40,0.512,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.5,2016/2017
18,Indiana Pacers,E,C,42,40,0.512,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.6,2016/2017
19,Minnesota Timberwolves,W,NW,31,51,0.378,-1.11,111.54,112.74,-1.2,-0.63,111.75,112.46,-0.71,2016/2017
20,Atlanta Hawks,E,SE,43,39,0.524,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37,2016/2017
21,Detroit Pistons,E,C,37,45,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54,2016/2017
22,New Orleans Pelicans,W,SW,34,48,0.415,-2.1,105.81,108.01,-2.2,-1.69,105.79,107.57,-1.78,2016/2017
23,Dallas Mavericks,W,SW,33,49,0.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65,2016/2017
24,Sacramento Kings,W,P,32,50,0.39,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59,2016/2017
25,New York Knicks,E,A,31,51,0.378,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.6,-3.98,2016/2017
26,Phoenix Suns,W,P,24,58,0.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98,2016/2017
27,Philadelphia 76ers,E,A,28,54,0.341,-5.7,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99,2016/2017
28,Los Angeles Lakers,W,P,26,56,0.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42,2016/2017
29,Brooklyn Nets,E,A,20,62,0.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74,2016/2017
30,Orlando Magic,E,SE,29,53,0.354,-6.57,104.23,111.11,-6.88,-6.61,104.3,111.21,-6.92,2016/2017
1,San Antonio Spurs,W,SW,67,15,0.817,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.1,2015/2016
2,Golden State Warriors,W,P,73,9,0.89,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49,2015/2016
3,Oklahoma City Thunder,W,NW,55,27,0.671,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35,2015/2016
4,Cleveland Cavaliers,E,C,57,25,0.695,5.99,111.8,105.32,6.48,5.44,111.75,105.85,5.9,2015/2016
5,Toronto Raptors,E,A,56,26,0.683,4.5,111.11,106.16,4.95,4.08,111.18,106.68,4.5,2015/2016
6,Los Angeles Clippers,W,P,53,29,0.646,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31,2015/2016
7,Atlanta Hawks,E,SE,48,34,0.585,3.61,105.75,102,3.75,3.49,105.74,102.12,3.62,2015/2016
8,Boston Celtics,E,A,48,34,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81,2015/2016
9,Charlotte Hornets,E,SE,48,34,0.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34,2015/2016
10,Utah Jazz,W,NW,40,42,0.488,1.8,106.83,104.78,2.04,1.86,106.57,104.48,2.09,2015/2016
11,Indiana Pacers,E,C,45,37,0.549,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68,2015/2016
12,Miami Heat,E,SE,48,34,0.585,1.65,107.01,105.34,1.67,1.5,107.08,105.56,1.52,2015/2016
13,Portland Trail Blazers,W,NW,44,38,0.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03,2015/2016
14,Detroit Pistons,E,C,44,38,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4,2015/2016
15,Houston Rockets,W,SW,41,41,0.5,0.2,109.23,109.1,0.13,0.34,109.26,108.96,0.3,2015/2016
16,Dallas Mavericks,W,SW,42,40,0.512,-0.3,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11,2015/2016
17,Washington Wizards,E,SE,41,41,0.5,-0.5,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39,2015/2016
18,Chicago Bulls,E,C,42,40,0.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42,2015/2016
19,Orlando Magic,E,SE,35,47,0.427,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.7,-1.8,2015/2016
20,Memphis Grizzlies,W,SW,42,40,0.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22,2015/2016
21,Sacramento Kings,W,P,33,49,0.402,-2.48,106.57,109.07,-2.5,-2.31,106.44,108.77,-2.33,2015/2016
22,Denver Nuggets,W,NW,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94,2015/2016
23,New York Knicks,E,A,32,50,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02,2015/2016
24,New Orleans Pelicans,W,SW,30,52,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63,2015/2016
25,Minnesota Timberwolves,W,NW,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68,2015/2016
26,Milwaukee Bucks,E,C,33,49,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37,2015/2016
27,Phoenix Suns,W,P,23,59,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5,2015/2016
28,Brooklyn Nets,E,A,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61,2015/2016
29,Los Angeles Lakers,W,P,17,65,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43,2015/2016
30,Philadelphia 76ers,E,A,10,72,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18,2015/2016
1,Golden State Warriors,W,P,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23,2014/2015
2,Los Angeles Clippers,W,P,56,26,0.683,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21,2014/2015
3,San Antonio Spurs,W,SW,55,27,0.671,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79,2014/2015
4,Atlanta Hawks,E,SE,60,22,0.732,5.43,110,103.98,6.02,4.75,109.85,104.56,5.29,2014/2015
5,Portland Trail Blazers,W,NW,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69,2014/2015
6,Cleveland Cavaliers,E,C,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39,2014/2015
7,Houston Rockets,W,SW,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01,2014/2015
8,Memphis Grizzlies,W,SW,55,27,0.671,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94,2014/2015
9,Dallas Mavericks,W,SW,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64,2014/2015
10,Chicago Bulls,E,C,50,32,0.61,3,108.48,105.11,3.37,2.54,108.42,105.53,2.88,2014/2015
11,Toronto Raptors,E,A,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72,2014/2015
12,Oklahoma City Thunder,W,NW,45,37,0.549,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54,2014/2015
13,New Orleans Pelicans,W,SW,45,37,0.549,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16,2014/2015
14,Utah Jazz,W,NW,38,44,0.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79,2014/2015
15,Washington Wizards,E,SE,46,36,0.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25,2014/2015
16,Indiana Pacers,E,C,38,44,0.463,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14,2014/2015
17,Milwaukee Bucks,E,C,41,41,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16,2014/2015
18,Phoenix Suns,W,P,39,43,0.476,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37,2014/2015
19,Boston Celtics,E,A,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44,2014/2015
20,Detroit Pistons,E,C,32,50,0.39,-1,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54,2014/2015
21,Denver Nuggets,W,NW,30,52,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07,2014/2015
22,Sacramento Kings,W,P,29,53,0.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27,2014/2015
23,Brooklyn Nets,E,A,38,44,0.463,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31,2014/2015
24,Miami Heat,E,SE,37,45,0.451,-2.6,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37,2014/2015
25,Charlotte Hornets,E,SE,33,49,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79,2014/2015
26,Orlando Magic,E,SE,25,57,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23,2014/2015
27,Los Angeles Lakers,W,P,21,61,0.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.9,-6.65,2014/2015
28,Minnesota Timberwolves,W,NW,16,66,0.195,-8.79,103.63,112.98,-9.36,-8,103.98,112.5,-8.52,2014/2015
29,Philadelphia 76ers,E,A,18,64,0.22,-8.98,96.4,105.7,-9.31,-9.04,96.3,105.67,-9.38,2014/2015
