Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Seasons
30,New York Knicks,E,A,17,65,0.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.3,2014/2015
1,San Antonio Spurs,W,SW,62,20,0.756,7.72,111.09,102.93,8.16,7.99,110.98,102.53,8.45,2013/2014
2,Los Angeles Clippers,W,P,57,25,0.695,6.98,112.89,105.64,7.25,7.27,112.88,105.33,7.56,2013/2014
3,Oklahoma City Thunder,W,NW,59,23,0.72,6.34,111.32,104.6,6.71,6.65,111.29,104.26,7.04,2013/2014
4,Golden State Warriors,W,P,51,31,0.622,4.8,108.05,103.07,4.98,5.15,107.93,102.59,5.34,2013/2014
5,Houston Rockets,W,SW,54,28,0.659,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17,2013/2014
6,Miami Heat,E,SE,54,28,0.659,4.76,112.13,106.75,5.38,4.15,112.15,107.42,4.73,2013/2014
7,Portland Trail Blazers,W,NW,54,28,0.659,3.99,112.03,107.8,4.22,4.43,112.17,107.49,4.68,2013/2014
8,Indiana Pacers,E,C,56,26,0.683,4.4,104.7,100.05,4.65,3.63,104.25,100.42,3.83,2013/2014
9,Dallas Mavericks,W,SW,49,33,0.598,2.4,111.95,109.24,2.71,2.9,112.16,108.95,3.21,2013/2014
10,Minnesota Timberwolves,W,NW,40,42,0.488,2.67,109.41,106.7,2.7,3.1,109.4,106.25,3.15,2013/2014
11,Phoenix Suns,W,P,48,34,0.585,2.63,110.26,107.54,2.72,3.02,110.35,107.23,3.12,2013/2014
12,Toronto Raptors,E,A,48,34,0.585,3.24,109.77,106.15,3.62,2.55,109.65,106.76,2.89,2013/2014
13,Memphis Grizzlies,W,SW,50,32,0.61,1.57,107.12,105.47,1.66,2.17,107.18,104.89,2.29,2013/2014
14,Chicago Bulls,E,C,48,34,0.585,1.85,103.49,101.4,2.09,1.19,103.12,101.72,1.4,2013/2014
15,Washington Wizards,E,SE,44,38,0.537,1.27,106.75,105.45,1.3,0.47,106.46,105.99,0.47,2013/2014
16,Atlanta Hawks,E,SE,38,44,0.463,-0.48,106.71,107.26,-0.56,-0.88,106.74,107.71,-0.97,2013/2014
17,Charlotte Bobcats,E,SE,43,39,0.524,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99,2013/2014
18,New York Knicks,E,A,37,45,0.451,-0.79,109.27,109.97,-0.7,-1.4,109.25,110.58,-1.33,2013/2014
19,Denver Nuggets,W,NW,36,46,0.439,-2.15,106.59,108.79,-2.2,-1.4,106.75,108.17,-1.43,2013/2014
20,Brooklyn Nets,E,A,44,38,0.537,-1,107.42,108.63,-1.21,-1.58,107.36,109.16,-1.8,2013/2014
21,New Orleans Pelicans,W,SW,34,48,0.415,-2.71,107.98,110.9,-2.92,-1.98,108.18,110.35,-2.16,2013/2014
22,Sacramento Kings,W,P,28,54,0.341,-2.9,106.22,109.46,-3.24,-2.08,106.39,108.77,-2.37,2013/2014
23,Cleveland Cavaliers,E,C,33,49,0.402,-3.29,104.95,108.52,-3.56,-3.86,104.92,109.07,-4.16,2013/2014
24,Detroit Pistons,E,C,29,53,0.354,-3.66,106.6,110.51,-3.92,-4.14,106.66,111.07,-4.41,2013/2014
25,Los Angeles Lakers,W,P,27,55,0.329,-6.29,104.89,111.01,-6.13,-5.33,105.23,110.38,-5.15,2013/2014
26,Boston Celtics,E,A,25,57,0.305,-4.46,103.82,108.63,-4.81,-4.98,103.69,109.03,-5.34,2013/2014
27,Orlando Magic,E,SE,23,59,0.28,-5.44,102.14,108.1,-5.96,-5.88,102.06,108.48,-6.41,2013/2014
28,Utah Jazz,W,NW,25,57,0.305,-7.17,104.15,112,-7.85,-6.27,104.43,111.32,-6.89,2013/2014
29,Milwaukee Bucks,E,C,15,67,0.183,-8.18,103.67,112.67,-9,-8.41,103.88,113.1,-9.23,2013/2014
30,Philadelphia 76ers,E,A,19,63,0.232,-10.45,100.09,110.53,-10.44,-10.66,100.11,110.79,-10.68,2013/2014
1,Oklahoma City Thunder,W,NW,60,22,0.732,9.21,113.3,103.35,9.95,9.15,113.21,103.33,9.89,2012/2013
2,Miami Heat,E,SE,66,16,0.805,7.87,113.43,104.77,8.67,7.03,113.28,105.53,7.75,2012/2013
3,San Antonio Spurs,W,SW,58,24,0.707,6.4,109.11,102.26,6.85,6.67,109.05,101.9,7.14,2012/2013
4,Los Angeles Clippers,W,P,56,26,0.683,6.45,111.62,104.47,7.16,6.43,111.58,104.44,7.13,2012/2013
5,Denver Nuggets,W,NW,57,25,0.695,5.09,111.23,105.97,5.26,5.37,111.34,105.76,5.58,2012/2013
6,Memphis Grizzlies,W,SW,56,26,0.683,4.15,105.95,101.22,4.74,4.33,105.72,100.79,4.93,2012/2013
7,New York Knicks,E,A,54,28,0.659,4.23,111.83,106.92,4.91,3.73,111.88,107.53,4.35,2012/2013
8,Houston Rockets,W,SW,45,37,0.549,3.48,110.42,106.67,3.75,3.69,110.51,106.52,3.99,2012/2013
9,Indiana Pacers,E,C,49,32,0.605,4.02,104.87,100.54,4.33,3.34,104.48,100.89,3.59,2012/2013
10,Los Angeles Lakers,W,P,45,37,0.549,1.16,108.49,107.23,1.27,1.48,108.48,106.86,1.62,2012/2013
11,Golden State Warriors,W,P,47,35,0.573,0.89,107.1,106.04,1.06,1.32,107.13,105.61,1.52,2012/2013
12,Brooklyn Nets,E,A,49,33,0.598,1.78,109.1,107.14,1.96,1.25,109.1,107.71,1.39,2012/2013
13,Utah Jazz,W,NW,43,39,0.524,-0.09,107.42,107.5,-0.08,0.3,107.49,107.15,0.34,2012/2013
14,Chicago Bulls,E,C,45,37,0.549,0.32,104.23,103.87,0.36,-0.01,104.09,104.1,0,2012/2013
15,Dallas Mavericks,W,SW,41,41,0.5,-0.6,106.66,107.14,-0.48,-0.24,106.74,106.82,-0.09,2012/2013
16,Atlanta Hawks,E,SE,44,38,0.537,0.4,105.5,105.14,0.37,-0.07,105.39,105.54,-0.15,2012/2013
17,Boston Celtics,E,A,41,40,0.506,-0.22,104.07,104.4,-0.32,-0.62,103.77,104.51,-0.75,2012/2013
18,Toronto Raptors,E,A,34,48,0.415,-1.48,106.58,107.98,-1.4,-1.95,106.51,108.45,-1.93,2012/2013
19,Minnesota Timberwolves,W,NW,31,51,0.378,-2.37,103.61,106.23,-2.63,-1.83,103.66,105.7,-2.04,2012/2013
20,Milwaukee Bucks,E,C,38,44,0.463,-1.5,104.28,106.02,-1.74,-1.82,104.2,106.29,-2.09,2012/2013
21,Portland Trail Blazers,W,NW,33,49,0.402,-3.17,106.21,109.77,-3.56,-2.52,106.45,109.3,-2.85,2012/2013
22,Washington Wizards,E,SE,29,53,0.354,-2.54,100.78,103.61,-2.82,-2.78,100.56,103.64,-3.09,2012/2013
23,New Orleans Hornets,W,SW,27,55,0.329,-3.87,106.63,110.97,-4.34,-3.11,107.03,110.54,-3.51,2012/2013
24,Philadelphia 76ers,E,A,34,48,0.415,-3.34,102.69,106.37,-3.68,-3.51,102.59,106.45,-3.86,2012/2013
25,Sacramento Kings,W,P,28,54,0.341,-4.88,106.85,112.16,-5.3,-4.25,107.21,111.83,-4.62,2012/2013
26,Detroit Pistons,E,C,29,53,0.354,-3.99,104.57,109.03,-4.46,-4.32,104.56,109.37,-4.82,2012/2013
27,Cleveland Cavaliers,E,C,24,58,0.293,-4.68,105.09,110.16,-5.07,-4.87,105.24,110.52,-5.28,2012/2013
28,Phoenix Suns,W,P,25,57,0.305,-6.46,102,108.82,-6.82,-5.75,102.2,108.24,-6.04,2012/2013
29,Orlando Magic,E,SE,20,62,0.244,-6.99,102.09,109.79,-7.7,-7.12,102.05,109.89,-7.84,2012/2013
30,Charlotte Bobcats,E,SE,21,61,0.256,-9.23,102.34,112.51,-10.17,-9.29,102.59,112.82,-10.23,2012/2013
1,Chicago Bulls,E,C,50,16,0.758,8.18,108.22,98.89,9.33,7.43,108.21,99.72,8.49,2011/2012
2,San Antonio Spurs,W,SW,50,16,0.758,7.17,111.45,103.83,7.62,7.28,111.35,103.6,7.75,2011/2012
3,Oklahoma City Thunder,W,NW,47,19,0.712,6.12,110.33,103.77,6.56,6.44,110.3,103.37,6.93,2011/2012
4,Miami Heat,E,SE,46,20,0.697,5.98,107.66,101.1,6.56,5.72,107.97,101.71,6.26,2011/2012
5,Philadelphia 76ers,E,A,35,31,0.53,4.24,104.7,100,4.7,3.59,104.42,100.45,3.97,2011/2012
6,Denver Nuggets,W,NW,38,28,0.576,2.88,109.95,106.97,2.99,3.16,109.94,106.63,3.31,2011/2012
7,Los Angeles Clippers,W,P,40,26,0.606,2.56,109.49,106.69,2.8,2.82,109.26,106.18,3.09,2011/2012
8,Indiana Pacers,E,C,42,24,0.636,3.3,107.63,103.94,3.69,2.59,107.68,104.77,2.91,2011/2012
9,Atlanta Hawks,E,SE,40,26,0.606,3.44,105.74,102.04,3.7,2.67,105.57,102.72,2.85,2011/2012
10,New York Knicks,E,A,36,30,0.545,3.2,105.51,101.86,3.64,2.39,105.45,102.7,2.75,2011/2012
11,Memphis Grizzlies,W,SW,41,25,0.621,2.02,104.81,102.57,2.24,2.43,104.59,101.89,2.7,2011/2012
12,Boston Celtics,E,A,39,27,0.591,2.52,102.12,99.34,2.78,2.26,102.19,99.69,2.5,2011/2012
13,Los Angeles Lakers,W,P,41,25,0.621,1.42,106.62,105.07,1.55,1.96,106.6,104.45,2.15,2011/2012
14,Dallas Mavericks,W,SW,36,30,0.545,0.95,104.08,103.01,1.07,1.78,104.04,102.07,1.97,2011/2012
15,Utah Jazz,W,NW,36,30,0.545,0.62,107.51,106.91,0.6,0.92,107.34,106.4,0.94,2011/2012
16,Houston Rockets,W,SW,34,32,0.515,0.23,106.42,106.11,0.31,0.57,106.27,105.58,0.69,2011/2012
17,Phoenix Suns,W,P,33,33,0.5,-0.24,106.96,107.1,-0.13,0.29,106.96,106.52,0.45,2011/2012
18,Orlando Magic,E,SE,37,29,0.561,0.79,105.65,104.87,0.78,0.46,105.77,105.36,0.41,2011/2012
19,Milwaukee Bucks,E,C,31,35,0.47,0.27,106.07,105.73,0.34,-0.23,106.13,106.34,-0.21,2011/2012
20,Portland Trail Blazers,W,NW,28,38,0.424,-0.62,106.56,107.24,-0.69,-0.21,106.4,106.64,-0.24,2011/2012
21,Minnesota Timberwolves,W,NW,26,40,0.394,-2.2,104.85,107,-2.15,-1.83,104.65,106.4,-1.75,2011/2012
22,Golden State Warriors,W,P,23,43,0.348,-3.41,105.97,109.66,-3.69,-2.79,106,109.01,-3.01,2011/2012
23,New Orleans Hornets,W,SW,21,45,0.318,-3.76,101.82,105.98,-4.16,-3.11,101.68,105.11,-3.44,2011/2012
24,Toronto Raptors,E,A,23,43,0.348,-3.3,101.57,105.32,-3.74,-3.67,101.68,105.83,-4.14,2011/2012
25,Sacramento Kings,W,P,22,44,0.333,-5.68,104.46,110.43,-5.98,-4.95,104.59,109.76,-5.17,2011/2012
26,Washington Wizards,E,SE,20,46,0.303,-4.8,101.75,107.03,-5.28,-5.14,101.95,107.61,-5.66,2011/2012
27,Detroit Pistons,E,C,25,41,0.379,-4.79,102.13,107.48,-5.35,-5.18,102.33,108.11,-5.78,2011/2012
28,New Jersey Nets,E,A,22,44,0.333,-5.98,103.77,110.52,-6.75,-6.37,103.99,111.17,-7.18,2011/2012
29,Cleveland Cavaliers,E,C,21,45,0.318,-7.2,101.86,109.78,-7.92,-7.34,102.06,110.14,-8.08,2011/2012
30,Charlotte Bobcats,E,SE,7,59,0.106,-13.91,95.85,111.26,-15.41,-13.96,96.12,111.59,-15.46,2011/2012
1,Miami Heat,E,SE,58,24,0.707,7.46,112.62,104.35,8.27,6.76,112.43,104.94,7.49,2010/2011
2,Chicago Bulls,E,C,62,20,0.756,7.32,109.3,101.07,8.23,6.53,109.02,101.65,7.37,2010/2011
3,Los Angeles Lakers,W,P,57,25,0.695,6.11,111.61,105,6.61,6.01,111.4,104.89,6.51,2010/2011
4,San Antonio Spurs,W,SW,61,21,0.744,5.71,112.31,106.23,6.07,5.86,112.22,105.97,6.25,2010/2011
5,Orlando Magic,E,SE,52,30,0.634,5.46,108.78,102.87,5.91,4.92,108.63,103.31,5.32,2010/2011
6,Boston Celtics,E,A,56,26,0.683,5.37,107.36,101.46,5.9,4.83,107.03,101.73,5.3,2010/2011
7,Denver Nuggets,W,NW,50,32,0.61,4.76,112.84,108.03,4.82,4.81,112.73,107.84,4.89,2010/2011
8,Dallas Mavericks,W,SW,57,25,0.695,4.23,110.24,105.76,4.49,4.41,110.08,105.4,4.68,2010/2011
9,Oklahoma City Thunder,W,NW,55,27,0.671,3.79,112.2,108.06,4.14,3.81,112.09,107.93,4.16,2010/2011
10,Memphis Grizzlies,W,SW,46,36,0.561,2.34,108.52,105.98,2.55,2.55,108.42,105.65,2.77,2010/2011
11,Houston Rockets,W,SW,43,39,0.524,2.18,112.02,109.67,2.35,2.37,112.07,109.51,2.56,2010/2011
12,Portland Trail Blazers,W,NW,48,34,0.585,1.52,109.78,107.93,1.85,1.85,109.73,107.54,2.19,2010/2011
13,New Orleans Hornets,W,SW,46,36,0.561,0.89,107.25,106.19,1.06,1.28,107.18,105.7,1.48,2010/2011
14,Philadelphia 76ers,E,A,41,41,0.5,1.5,107.62,106.02,1.6,1.01,107.55,106.48,1.07,2010/2011
15,New York Knicks,E,A,42,40,0.512,0.78,111.76,110.92,0.84,0.48,112,111.48,0.51,2010/2011
16,Phoenix Suns,W,P,40,42,0.488,-0.89,110.2,111.15,-0.94,-0.46,110.35,110.83,-0.47,2010/2011
17,Milwaukee Bucks,E,C,35,47,0.427,-0.84,102.47,103.46,-1,-1.01,102.29,103.48,-1.18,2010/2011
18,Atlanta Hawks,E,SE,44,38,0.537,-0.82,107.01,107.96,-0.95,-1.1,107.03,108.29,-1.26,2010/2011
19,Indiana Pacers,E,C,37,45,0.451,-1.07,105.53,106.73,-1.2,-1.37,105.54,107.07,-1.53,2010/2011
20,Utah Jazz,W,NW,39,43,0.476,-1.83,108.95,111.05,-2.1,-1.44,109.08,110.75,-1.67,2010/2011
21,Golden State Warriors,W,P,36,46,0.439,-2.33,108.96,111.39,-2.43,-2,109,111.08,-2.08,2010/2011
22,Los Angeles Clippers,W,P,32,50,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08,2010/2011
23,Detroit Pistons,E,C,30,52,0.366,-3.6,108.37,112.5,-4.13,-3.78,108.65,112.98,-4.33,2010/2011
24,Charlotte Bobcats,E,SE,34,48,0.415,-4,104.32,108.92,-4.6,-4.08,104.43,109.11,-4.67,2010/2011
25,Sacramento Kings,W,P,24,58,0.293,-5.34,104.18,109.82,-5.65,-4.8,104.16,109.24,-5.07,2010/2011
26,Minnesota Timberwolves,W,NW,17,65,0.207,-6.63,104.84,111.69,-6.85,-5.97,104.93,111.07,-6.15,2010/2011
27,Toronto Raptors,E,A,22,60,0.268,-6.28,106.85,113.57,-6.72,-6.28,107.17,113.88,-6.72,2010/2011
28,New Jersey Nets,E,A,24,58,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99,2010/2011
29,Washington Wizards,E,SE,23,59,0.28,-7.4,103.12,110.93,-7.81,-7.3,103.39,111.09,-7.71,2010/2011
30,Cleveland Cavaliers,E,C,19,63,0.232,-9.01,102.74,112.56,-9.81,-8.88,103.02,112.69,-9.67,2010/2011
1,Orlando Magic,E,SE,59,23,0.72,7.49,112.13,104,8.13,7.12,112.02,104.28,7.73,2009/2010
2,Cleveland Cavaliers,E,C,61,21,0.744,6.52,112.27,105.07,7.21,6.17,112.29,105.47,6.82,2009/2010
3,Utah Jazz,W,NW,53,29,0.646,5.34,111.57,105.81,5.76,5.33,111.44,105.69,5.75,2009/2010
4,San Antonio Spurs,W,SW,50,32,0.61,5.09,110.61,105.17,5.44,5.07,110.49,105.07,5.42,2009/2010
5,Los Angeles Lakers,W,P,57,25,0.695,4.72,109.51,104.57,4.93,4.78,109.32,104.32,5,2009/2010
6,Phoenix Suns,W,P,54,28,0.659,4.9,116.11,110.94,5.16,4.68,116.06,111.13,4.93,2009/2010
7,Atlanta Hawks,E,SE,53,29,0.646,4.66,112.6,107.6,5,4.44,112.67,107.91,4.77,2009/2010
8,Denver Nuggets,W,NW,53,29,0.646,4.09,112.32,108.21,4.11,4.15,112.26,108.06,4.2,2009/2010
9,Oklahoma City Thunder,W,NW,50,32,0.61,3.49,109.18,105.43,3.75,3.55,109.06,105.23,3.82,2009/2010
10,Portland Trail Blazers,W,NW,50,32,0.61,3.3,111.91,108.02,3.88,3.18,111.78,108.04,3.74,2009/2010
11,Boston Celtics,E,A,50,32,0.61,3.66,108.65,104.62,4.03,3.37,108.5,104.79,3.72,2009/2010
12,Dallas Mavericks,W,SW,55,27,0.671,2.72,110,107.17,2.84,2.67,109.88,107.09,2.79,2009/2010
13,Miami Heat,E,SE,47,35,0.573,2.28,107.63,105.06,2.57,2,107.58,105.32,2.26,2009/2010
14,Milwaukee Bucks,E,C,46,36,0.561,1.7,105.74,103.81,1.94,1.38,105.68,104.09,1.59,2009/2010
15,Charlotte Bobcats,E,SE,44,38,0.537,1.46,105.26,103.87,1.39,1.3,105.2,103.97,1.22,2009/2010
16,Houston Rockets,W,SW,42,40,0.512,-0.37,108.37,108.79,-0.42,-0.01,108.4,108.45,-0.04,2009/2010
17,Memphis Grizzlies,W,SW,40,42,0.488,-1.51,109.07,110.71,-1.64,-1.38,109,110.49,-1.49,2009/2010
18,Toronto Raptors,E,A,40,42,0.488,-1.78,112.19,113.89,-1.69,-1.83,112.45,114.2,-1.75,2009/2010
19,Chicago Bulls,E,C,41,41,0.5,-1.63,104.24,106.03,-1.79,-1.63,104.29,106.08,-1.79,2009/2010
20,New Orleans Hornets,W,SW,37,45,0.451,-2.46,108.19,110.92,-2.73,-2.26,108.15,110.67,-2.52,2009/2010
21,Indiana Pacers,E,C,32,50,0.39,-3.01,104.6,107.64,-3.04,-3.1,104.58,107.73,-3.14,2009/2010
22,Golden State Warriors,W,P,26,56,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28,2009/2010
23,New York Knicks,E,A,29,53,0.354,-3.82,108.22,112.2,-3.98,-4.01,108.33,112.52,-4.19,2009/2010
24,Sacramento Kings,W,P,25,57,0.305,-4.37,106.05,110.82,-4.76,-4.06,106.09,110.52,-4.42,2009/2010
25,Philadelphia 76ers,E,A,27,55,0.329,-3.9,106.93,111.35,-4.42,-3.93,107.15,111.58,-4.43,2009/2010
26,Washington Wizards,E,SE,26,56,0.317,-4.78,105.11,110.41,-5.3,-4.72,105.34,110.57,-5.23,2009/2010
27,Detroit Pistons,E,C,27,55,0.329,-5.11,106.6,112.41,-5.82,-5.02,106.78,112.48,-5.7,2009/2010
28,Los Angeles Clippers,W,P,29,53,0.354,-6.35,104.07,111.02,-6.95,-6.01,104.04,110.61,-6.57,2009/2010
29,Minnesota Timberwolves,W,NW,15,67,0.183,-9.6,102.34,112.31,-9.97,-9.06,102.38,111.78,-9.4,2009/2010
30,New Jersey Nets,E,A,12,70,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79,2009/2010
